carat,cut,color,clarity,depth,table
0.23,Very Good,H,VS1,59.4,61
0.30,Good,J,SI1,64.0,55
0.23,Ideal,J,VS1,62.8,56
0.22,Premium,F,SI1,60.4,61
0.31,Ideal,J,SI2,62.2,54
0.20,Premium,E,SI2,60.2,62
0.32,Premium,E,I1,60.9,58
0.30,Ideal,I,SI2,62.0,54
0.30,Good,J,SI1,63.4,54
0.30,Good,J,SI1,63.8,56
0.30,Very Good,J,SI1,62.7,59
0.30,Good,I,SI2,63.3,56
0.23,Very Good,E,VS2,63.8,55
0.23,Very Good,H,VS1,61.0,57
0.31,Very Good,J,SI1,59.4,62
0.31,Very Good,J,SI1,58.1,62
0.23,Very Good,G,VVS2,60.4,58
0.25,Ideal,G,VS1,61.5,57
0.35,Premium,F,VS2,62.0,56
0.28,Very Good,H,SI1,60.8,58
